title,startDate,endDate,season,seasonYear,tags,format,status,episodes,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Samurai Deeper Kyo,7-2002,12-2002,SUMMER,2002.0,"['Historical', 'Samurai', 'Shounen']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",5882,62.0,JP,MANGA,Studio DEEN,45.0
SPRIGGAN,9-1998,9-1998,SUMMER,1998.0,"['Military', 'Shounen', 'Foreign', 'Guns', 'Lost Civilization', 'Male Protagonist', 'Religion', 'Super Power', 'Environmental', 'Dinosaurs', 'Terrorism', 'Suicide']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",9721,63.0,JP,MANGA,Horipro,8.0
Stratos 4,1-2003,3-2003,WINTER,2003.0,"['Military', 'Aviation', 'Work', 'Space', 'Aliens', 'Nudity', 'Female Protagonist', 'Primarily Female Cast']",TV,FINISHED,13.0,"['Comedy', 'Sci-Fi']",2227,60.0,JP,ORIGINAL,Bandai Visual,56.0
Stratos 4 OVA,5-2004,8-2004,SPRING,2004.0,"['Military', 'Shounen', 'Space', 'Aviation', 'Work']",OVA,FINISHED,2.0,"['Comedy', 'Sci-Fi']",729,57.0,JP,,Studio Fantasia,24.0
Stratos 4 Advance,3-2005,1-2006,SPRING,2005.0,"['Shounen', 'Military', 'Aviation']",OVA,FINISHED,6.0,"['Comedy', 'Sci-Fi']",737,58.0,JP,,Bandai Visual,30.0
Dirty Pair,7-1985,12-1985,SUMMER,1985.0,"['Space', 'Female Protagonist', 'Episodic', 'Police', 'Work', 'Tomboy', 'Crime', 'Primarily Adult Cast', 'Guns', 'Nudity', 'Cyberpunk']",TV,FINISHED,24.0,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi']",9880,69.0,JP,OTHER,Sunrise,0.0
Araiso Private High School Student Council Executive Committee,3-2002,7-2002,SPRING,2002.0,"['School', 'Basketball', 'Shounen', ""Boys' Love"", 'Ghost']",OVA,FINISHED,2.0,"['Action', 'Comedy', 'Mystery', 'Sports', 'Supernatural']",1114,54.0,JP,MANGA,Movic,29.0
Legend of the Crystals: Final Fantasy,3-1994,7-1994,SPRING,1994.0,"['Male Protagonist', 'Female Protagonist']",OVA,FINISHED,4.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2167,53.0,JP,VIDEO_GAME,MADHOUSE,29.0
Kaleido Star,4-2003,3-2004,SPRING,2003.0,"['Circus', 'Female Protagonist', 'Musical', 'Foreign', 'Acting', 'Coming of Age', 'Work', 'Fairy Tale', 'Ghost', 'Dancing', 'Animals', 'Primarily Teen Cast', 'Idol', 'Police', 'Cosplay', 'Acrobatics']",TV,FINISHED,51.0,"['Comedy', 'Drama', 'Fantasy', 'Sports']",13978,75.0,JP,ORIGINAL,GONZO,6.0
Kaleido Star: New Wings Extra Stage,9-2004,9-2004,FALL,2004.0,"['Circus', 'Acting', 'Urban Fantasy', 'Female Protagonist', 'Urban', 'Foreign']",OVA,FINISHED,1.0,"['Drama', 'Fantasy', 'Sports']",2312,69.0,JP,ORIGINAL,GONZO,8.0
